Stock Name,Change,Date
MNRL,7.28%,November8
MNST,2.50%,November8
MNTX,-1.20%,November8
MOD,-41.86%,November8
MOGO,-2.27%,November8
MR,15.35%,November8
MRAM,-5.57%,November8
MRIN,-5.24%,November8
MSG,-0.08%,November8
MTD,-2.08%,November8
MTW,16.02%,November8
MYOS,-16.10%,November8
NAVB,-15.79%,November8
NBY,-22.98%,November8
NCR,3.70%,November8
NDLS,1.44%,November8
NEOS,14.29%,November8
NET,0.63%,November8
NH,-2.30%,November8
NLS,-10.61%,November8
NNBR,10.79%,November8
NNI,-2.94%,November8
NVAX,1.78%,November8
NVCN,-10.82%,November8
NVEE,-22.54%,November8
NWS,-4.35%,November8
NWSA,-3.23%,November8
OBLN,-4.47%,November8
OCGN,-10.34%,November8
OFS,-0.17%,November8
ONCT,-1.87%,November8
OPY,0.22%,November8
OSG,2.94%,November8
OSS,5.04%,November8
PACB,-3.59%,November8
PANL,-4.27%,November8
PAR,14.78%,November8
PCTI,12.99%,November8
PEGA,-6.22%,November8
PEIX,-8.31%,November8
PEN,-4.54%,November8
PETQ,-9.31%,November8
PFNX,6.29%,November8
PLNT,9.76%,November8
PLSE,-0.18%,November8
PLXP,-2.89%,November8
PRAA,4.83%,November8
PVAC,1.50%,November8
QNST,19.62%,November8
RBA,0.31%,November8
RDVT,1.78%,November8
REPH,11.77%,November8
REV,-9.43%,November8
RGR,-5.31%,November8
RLH,-54.18%,November8
RLJ,-0.35%,November8
RMNI,6.31%,November8
RNET,12.00%,November8
ROSE,4.95%,November8
RVLV,-16.66%,November8
SCPL,1.31%,November8
SDPI,2.22%,November8
SELB,-9.77%,November8
SEMG,0.44%,November8
SGMS,13.28%,November8
SIEN,28.43%,November8
SMLP,-4.73%,November8
SNDX,0.72%,November8
SPLP,0.48%,November8
SPPI,7.93%,November8
SRG,-0.66%,November8
SRPT,4.68%,November8
SSFN,0.00%,November8
SSP,7.04%,November8
STKS,3.46%,November8
STML,-15.66%,November8
STMP,13.78%,November8
STON,-1.74%,November8
STWD,0.41%,November8
SUPV,-7.53%,November8
SVC,-4.31%,November8
SVM,1.20%,November8
SVMK,-7.22%,November8
SVRA,-8.08%,November8
SWAV,-3.75%,November8
SWCH,-2.68%,November8
SYMC,0.00%,November8
SYNA,9.21%,November8
TDC,-18.11%,November8
TEO,-3.02%,November8
TIVO,-7.07%,November8
TNAV,5.29%,November8
TPCO,-1.75%,November8
TRHC,-8.85%,November8
TRNO,0.43%,November8
TROX,0.93%,November8
TRUE,31.37%,November8
TSBK,0.69%,November8
TTD,1.08%,November8
TTWO,0.36%,November8
TUSK,-17.05%,November8
TV,-1.87%,November8
TXG,-3.76%,November8
UEIC,6.38%,November8
UEPS,2.75%,November8
UMH,4.25%,November8
UNIT,-8.85%,November8
UNT,-47.76%,November8
UPLD,-11.70%,November8
USCR,-18.94%,November8
UTI,-0.72%,November8
UTSI,-3.04%,November8
VIVE,-9.38%,November8
VRTU,5.91%,November8
VSAT,6.08%,November8
VTNR,7.38%,November8
VTVT,4.38%,November8
VUZI,-8.26%,November8
WATT,-20.49%,November8
WKHS,-4.15%,November8
WPRT,-5.76%,November8
WSC,1.06%,November8
WTRH,-37.60%,November8
XOG,-4.71%,November8
XONE,1.56%,November8
YELP,16.04%,November8
YPF,-0.84%,November8
Z,11.98%,November8
ZEUS,-11.83%,November8
ZG,10.85%,November8
ZGNX,-0.18%,November8
ZIOP,0.12%,November8
