Stock Name,Stock Count,Company,Sector,Industry,Country,Market Cap,P/E,Price,Volume,EPS Time,Zacks Ranks,Yahoo Ranks,The Street Ranks,Investor Place,Date,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS this Y,EPS next Y,EPS past 5Y,EPS next 5Y,Sales past 5Y,Divident,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Oper M,Profit M,Earnings,Outstanding,Float,Insider Own,Insider Trans,Inst Own,Inst Trans,Float Short,Short Ratio,Avg Volume,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Rel Volume,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,from Open,Gap
AKG,4,Asanko Gold Inc.,Basic Materials,Gold,Canada,198.44M,-,0.87,"294,159",Tomorrow Before Market EPS,2-Buy ,BUY,None,B,November6,6.43,-,6.46,0.63,29.18,-,200.00%,285.71%,-,-,-,-,-0.10%,-0.10%,-44.10%,3.60,-,0.00,0.00,-8.80%,-,-1.40%,Nov 07/b,228.56M,186.95M,3.60%,-,63.00%,1.77%,0.13%,0.45,524.79K,-0.21%,-13.18%,-11.96%,40.03%,9.90%,35.95%,4.37%,4.17%,2.20,0.56,0.36,0.04,-4.69%,-9.17%,14.55%,-21.07%,74.23%,37.11,-1.34%,0.92%
ALB,8,Albemarle Corporation,Basic Materials,Specialty Chemicals,USA,7.07B,13.49,66.72,"2,319,177",Today After Market EPS,5-Strong Sell ,BUY,C (Hold),F,November6,11.16,1.22,2.07,1.86,17.75,-,45.40%,-2.58%,4.80%,11.10%,7.10%,2.20%,7.10%,15.00%,14.10%,1.50,0.90,0.37,0.50,35.40%,19.90%,16.00%,Nov 06/a,105.96M,105.22M,0.40%,-7.00%,96.30%,0.03%,17.21%,11.10,1.63M,6.46%,4.74%,-9.21%,-8.11%,-37.18%,-13.43%,3.75%,3.08%,2.40,1.42,1.63,2.35,1.04%,1.13%,-8.92%,-38.64%,13.80%,51.59,-0.10%,-0.86%
ALRN,5,"Aileron Therapeutics, Inc.",Healthcare,Biotechnology,USA,14.65M,-,0.56,"456,191",Tomorrow Before Market EPS,3-Hold ,STRONG BUY,None,D,November6,-,-,-,0.52,0.46,-,-39.20%,23.20%,-,2.10%,-,-,-88.10%,-130.50%,-,6.00,6.00,0.00,0.00,-,-,-,Nov 07/b,26.01M,19.48M,1.20%,0.00%,35.30%,-,0.71%,0.27,505.77K,26.10%,23.28%,10.47%,-60.60%,-73.92%,-32.93%,20.63%,12.83%,1.20,0.90,-,0.07,22.86%,-12.84%,-48.27%,-78.33%,40.85%,55.18,0.61%,-0.74%
AMC,6,"AMC Entertainment Holdings, Inc.",Services,"Movie Production, Theaters",USA,980.14M,-,9.69,"1,760,223",Tomorrow Before Market EPS,4-Sell ,BUY,C- (Hold),D,November6,-,-,0.18,0.76,5.15,-,117.80%,61.40%,-29.20%,24.11%,14.70%,8.26%,-0.10%,-0.80%,3.70%,0.30,0.30,3.64,3.66,63.90%,2.60%,-0.20%,Nov 07/b,101.15M,51.31M,1.49%,0.00%,-,1.22%,37.32%,8.56,2.24M,3.09%,-1.42%,-19.32%,-28.91%,-49.48%,-21.09%,3.78%,4.45%,2.20,0.79,0.83,0.41,2.14%,-6.93%,-21.20%,-49.56%,11.00%,45.62,-1.02%,0.10%
ANGI,9,ANGI Homeservices Inc.,Technology,Internet Software & Services,USA,3.19B,41.95,6.46,"5,371,085",Today After Market EPS,4-Sell ,BUY,D (Sell),F,November6,55.69,-,2.60,2.45,8.39,16.94,147.60%,43.21%,17.80%,-,35.70%,-,4.40%,6.30%,5.40%,2.20,2.20,0.18,0.19,96.10%,4.80%,6.50%,Nov 06/a,494.45M,85.18M,1.10%,0.00%,88.80%,-0.24%,26.45%,10.32,2.18M,-5.28%,-3.37%,-31.35%,-60.85%,-65.42%,-59.80%,4.74%,3.85%,2.20,2.46,2.04,0.28,-5.28%,-10.38%,-49.83%,-71.70%,-0.77%,35.20,-4.15%,0.15%
ANSS,10,"ANSYS, Inc.",Technology,Application Software,USA,18.41B,42.92,218.73,"482,827",Today After Market EPS,3-Hold ,BUY,A- (Buy),B,November6,32.04,6.13,13.24,6.52,29.14,40.82,54.40%,9.41%,13.70%,7.00%,8.50%,-,13.30%,16.40%,15.50%,2.20,2.20,0.00,0.00,89.10%,35.70%,31.50%,Nov 06/a,84.16M,83.30M,0.90%,-0.71%,98.25%,3.70%,2.22%,3.93,470.72K,-2.87%,0.97%,3.50%,14.81%,42.76%,53.02%,2.10%,1.94%,2.20,1.03,1.38,4.65,-0.95%,0.63%,11.01%,-4.57%,59.89%,49.52,0.56%,-0.21%
AP,7,Ampco-Pittsburgh Corporation,Industrial Goods,Diversified Machinery,USA,48.74M,-,3.89,"9,499",Tomorrow Before Market EPS,3-Hold ,None,D (Sell),B,November6,-,-,0.13,0.67,7.50,-,-198.90%,-,-37.40%,-,8.30%,-,-15.50%,-89.60%,-24.40%,1.50,0.90,0.78,1.07,16.50%,-14.20%,-22.30%,Nov 07/b,12.53M,8.95M,14.20%,2.80%,62.20%,-0.10%,2.37%,11.23,18.88K,-0.13%,-1.02%,7.76%,22.71%,-11.39%,25.48%,2.80%,3.37%,-,0.50,1.16,0.15,1.61%,2.08%,3.86%,-24.02%,39.43%,54.36,-1.52%,0.77%
ARTX,11,Arotech Corporation,Industrial Goods,Industrial Electrical Equipment,USA,79.21M,496.67,2.98,"56,747",Today After Market EPS,2-Buy ,None,C- (Hold),B,November6,12.42,-,0.87,1.04,21.41,-,176.70%,71.43%,-11.90%,-,1.80%,-,0.10%,0.20%,3.10%,1.70,1.40,0.07,0.26,31.00%,1.90%,0.20%,Nov 06/a,26.58M,24.28M,0.70%,2.76%,31.50%,-5.35%,1.16%,1.07,264.27K,-0.17%,0.68%,38.60%,21.63%,6.43%,13.74%,0.40%,0.59%,-,0.21,1.30,0.02,0.29%,8.81%,12.65%,-18.58%,85.09%,68.56,0.00%,-0.33%
ASRT,12,"Assertio Therapeutics, Inc.",Healthcare,Drugs - Generic,USA,55.28M,-,0.73,"2,631,319",Today After Market EPS,3-Hold ,HOLD,D (Sell),F,November6,0.75,-,0.24,0.24,0.73,0.43,146.80%,9.78%,-5.20%,25.00%,18.40%,-,-0.40%,-1.70%,13.30%,0.80,0.80,2.10,2.51,96.40%,27.70%,-1.60%,Nov 06/a,75.83M,75.83M,1.00%,-,77.20%,2.24%,15.42%,6.38,1.83M,-28.53%,-44.98%,-74.06%,-84.75%,-85.56%,-79.81%,13.59%,12.49%,2.70,1.44,1.83,0.12,-27.04%,-39.45%,-76.49%,-87.60%,2.23%,33.17,-12.44%,0.41%
ATEX,13,Anterix Inc.,Technology,Telecom Services - Domestic,USA,726.17M,-,43.25,"120,606",Today After Market EPS,3-Hold ,BUY,C- (Hold),C,November6,-,-,142.39,3.66,10.52,-,-69.50%,17.40%,-,-,12.90%,-,-,-,-24.00%,8.50,-,0.00,0.00,-29.80%,-,-,Nov 06/a,16.79M,15.61M,5.00%,-,84.20%,6.30%,5.02%,7.35,106.59K,8.64%,17.11%,-3.97%,8.12%,-0.12%,15.67%,3.23%,4.25%,2.00,1.13,0.28,1.67,9.28%,11.24%,5.09%,-15.74%,41.16%,67.37,1.29%,-0.07%
ATHX,14,"Athersys, Inc.",Healthcare,Biotechnology,USA,204.48M,-,1.35,"704,518",Today After Market EPS,3-Hold ,BUY,D (Sell),D,November6,-,-,21.52,6.14,4.63,-,38.20%,-12.10%,19.70%,28.00%,58.40%,-,-72.70%,-106.90%,-58.10%,3.30,3.30,0.00,0.00,-,-,-,Nov 06/a,151.47M,134.07M,2.30%,-1.41%,21.80%,0.16%,9.97%,28.22,473.85K,3.85%,-0.74%,6.30%,-15.63%,-33.50%,-6.25%,3.16%,3.68%,2.00,1.49,0.29,0.05,1.50%,-0.90%,-10.37%,-37.21%,12.50%,52.19,1.50%,0.00%
ATNX,8,"Athenex, Inc.",Healthcare,Biotechnology,USA,846.70M,-,11.49,"633,355",Tomorrow Before Market EPS,3-Hold ,BUY,D (Sell),C,November6,-,-,9.71,4.69,6.03,-,6.30%,18.60%,-,-,-,-,-55.20%,-95.60%,-68.20%,2.60,2.30,0.27,0.28,27.70%,-,-,Nov 07/b,73.69M,55.85M,4.20%,140.10%,49.30%,0.42%,15.72%,9.50,924.51K,4.45%,-1.03%,-25.39%,-11.68%,-6.36%,-9.46%,3.85%,7.03%,1.70,0.69,-,0.65,4.76%,-8.44%,-17.55%,-45.57%,30.27%,49.17,-1.12%,-0.26%
ATO,15,Atmos Energy Corporation,Utilities,Gas Utilities,USA,12.95B,25.59,108.77,"786,786",Today After Market EPS,2-Buy ,BUY,B+ (Buy),B,November6,23.53,3.66,4.46,2.28,280.24,-,10.90%,6.77%,9.80%,7.00%,-4.30%,1.93%,4.90%,11.50%,6.60%,0.60,0.40,0.63,0.66,69.40%,30.80%,21.00%,Nov 06/a,119.03M,116.50M,0.50%,0.00%,86.10%,0.74%,2.98%,4.91,708.02K,-3.17%,-2.22%,-0.60%,8.01%,16.59%,17.31%,1.52%,1.26%,2.30,1.11,0.16,1.45,-2.40%,-2.32%,3.59%,-5.57%,23.77%,40.13,0.67%,0.12%
ATRA,9,"Atara Biotherapeutics, Inc.",Healthcare,Biotechnology,USA,588.91M,-,12.16,"594,271",Tomorrow Before Market EPS,3-Hold ,BUY,None,F,November6,-,-,-,2.43,3.10,-,-31.60%,7.70%,-63.40%,-,-,-,-77.80%,-88.70%,-,7.80,7.80,0.00,0.00,-,-,-,Nov 07/b,48.43M,48.43M,1.50%,-2.24%,99.80%,2.18%,22.28%,14.56,741.09K,11.66%,-10.59%,-3.03%,-55.33%,-67.61%,-65.00%,7.03%,6.06%,2.10,0.80,2.03,0.76,-2.46%,-10.40%,-49.88%,-72.32%,17.15%,43.93,-3.80%,0.00%
ATSG,16,"Air Transport Services Group, Inc.",Services,Air Delivery & Freight Services,USA,1.28B,68.69,21.70,"445,257",Today After Market EPS,3-Hold ,STRONG BUY,C (Hold),B,November6,14.93,137.37,1.09,3.45,23.27,193.21,255.10%,12.98%,39.30%,0.50%,9.00%,-,1.10%,6.00%,5.00%,0.90,0.80,3.78,3.89,60.80%,12.30%,2.10%,Nov 06/a,58.75M,57.78M,2.40%,0.75%,89.00%,0.34%,4.48%,8.43,306.68K,5.01%,12.75%,3.65%,-4.47%,19.13%,-4.84%,2.59%,2.81%,1.50,1.45,0.92,0.59,4.90%,4.48%,-2.59%,-15.94%,27.23%,58.94,-0.71%,-0.23%
AUTL,10,Autolus Therapeutics plc,Healthcare,Biotechnology,United Kingdom,554.59M,-,13.04,"67,818",Tomorrow Before Market EPS,3-Hold ,BUY,None,D,November6,-,-,514.22,1.91,2.08,-,63.00%,-22.10%,-,-,-,-,-,-,-9.60%,13.10,13.10,0.00,0.00,-,-,-,Nov 07/b,42.53M,8.82M,3.52%,-,33.40%,-37.72%,14.10%,4.20,296.25K,8.58%,10.04%,0.08%,-40.81%,-59.05%,-60.29%,7.42%,7.64%,1.70,0.23,-,0.96,3.17%,5.47%,-32.34%,-75.51%,37.26%,52.01,-8.75%,0.00%
AVA,11,Avista Corporation,Utilities,Diversified Utilities,USA,3.11B,15.82,47.36,"327,110",Tomorrow Before Market EPS,4-Sell ,SELL,B (Buy),D,November6,23.81,4.80,2.28,1.66,180.77,-,6.30%,3.59%,3.80%,3.30%,-0.60%,3.27%,3.40%,10.80%,6.10%,0.50,0.40,0.96,1.11,-,16.10%,14.40%,Nov 07/b,65.65M,65.54M,0.50%,-12.49%,81.90%,1.50%,1.65%,3.60,299.61K,-2.21%,-1.64%,2.40%,11.30%,-8.98%,11.49%,1.31%,1.27%,3.80,1.09,0.34,0.62,-1.19%,-1.05%,7.26%,-10.13%,19.14%,44.36,-0.25%,-0.02%
AXGN,17,"AxoGen, Inc.",Healthcare,Medical Appliances & Equipment,USA,520.24M,-,13.28,"459,869",Today After Market EPS,3-Hold ,BUY,None,F,November6,-,-,5.41,3.77,5.05,-,-92.40%,45.70%,11.00%,-,50.30%,-,-16.20%,-18.00%,-,8.70,7.90,0.00,0.00,82.30%,-29.70%,-26.90%,Nov 06/a,39.18M,37.94M,1.80%,10.53%,88.90%,4.18%,4.50%,3.25,525.11K,6.07%,14.48%,1.22%,-44.48%,-62.98%,-35.00%,6.06%,5.01%,1.60,0.88,0.13,0.66,8.10%,-0.49%,-26.15%,-64.86%,21.72%,54.88,-0.97%,-0.45%
AXSM,12,"Axsome Therapeutics, Inc.",Healthcare,Biotechnology,USA,861.93M,-,25.76,"550,395",Tomorrow Before Market EPS,3-Hold ,STRONG BUY,None,B,November6,-,-,-,35.78,16.02,-,9.40%,7.30%,-56.60%,-,-,-,-129.90%,-390.30%,-,4.20,4.20,0.72,0.81,-,-,-,Nov 07/b,33.46M,26.33M,2.30%,3.84%,53.60%,0.41%,23.20%,7.19,849.28K,12.88%,40.77%,1.02%,30.04%,565.63%,813.48%,4.86%,6.91%,1.40,0.65,2.63,1.62,16.97%,10.91%,31.17%,-15.54%,1227.84%,63.74,-0.31%,0.00%
AZUL,13,Azul S.A.,Services,Major Airlines,Brazil,4.10B,39.99,38.27,"282,477",Tomorrow Before Market EPS,3-Hold ,BUY,D- (Sell),B,November6,15.26,1.46,1.64,-,11.17,-,-24.70%,23.06%,-,27.35%,-,-,3.20%,32.70%,5.00%,0.70,0.60,-,-,47.80%,8.50%,4.50%,Nov 07/b,107.19M,7.47M,-,-,43.80%,-0.87%,86.77%,12.37,523.78K,-4.23%,4.42%,-8.14%,34.05%,49.32%,38.21%,2.66%,2.45%,1.90,0.54,-,1.12,0.01%,4.61%,15.57%,-11.28%,64.16%,51.05,-1.92%,-2.28%
BAND,18,Bandwidth Inc.,Technology,Business Software & Services,USA,1.28B,194.56,55.45,"350,276",Today After Market EPS,3-Hold ,BUY,D+ (Sell),C,November6,-,-,6.00,4.76,6.52,-,66.60%,26.70%,-,-,-,-,2.90%,3.60%,16.20%,6.70,6.70,0.00,0.00,45.90%,-6.00%,3.10%,Nov 06/a,23.02M,16.85M,0.50%,-,89.60%,-0.07%,6.99%,4.51,261.22K,-2.63%,-13.55%,-31.32%,-24.46%,11.23%,36.07%,4.12%,4.11%,1.70,1.34,-,2.47,-5.40%,-18.15%,-19.49%,-38.82%,99.82%,31.08,0.91%,-0.36%
BBDO,14,Banco Bradesco S.A.,Financial,Foreign Regional Banks,Brazil,64.38B,11.45,8.01,"15,634",Tomorrow Before Market EPS,,None,None,B,November6,-,-,-,1.76,-,-,-,-,-,-,-,0.62%,-,-,-,-,-,-,-,-,-,-,Nov 07/b,8.03B,5.76B,-,-,0.39%,-,0.00%,0.36,26.72K,-5.66%,13.36%,4.41%,5.50%,26.92%,15.40%,1.45%,2.09%,-,0.59,-,0.19,1.89%,7.62%,2.55%,-12.72%,29.42%,55.41,0.19%,-1.96%
BBGI,15,"Beasley Broadcast Group, Inc.",Services,Broadcasting - Radio,USA,80.57M,7.40,2.85,"45,810",Tomorrow Before Market EPS,,BUY,C (Hold),D,November6,4.83,-,0.31,0.28,6.55,6.39,-75.10%,14.56%,87.00%,-,35.60%,7.02%,1.50%,3.70%,4.40%,1.90,1.90,0.85,0.85,24.10%,15.30%,3.90%,Nov 07/b,28.27M,7.99M,0.60%,20.58%,48.00%,-1.10%,0.40%,1.26,25.21K,-0.35%,-2.40%,-14.93%,-20.17%,-57.53%,-24.00%,2.36%,2.24%,2.00,1.82,1.07,0.07,-1.98%,-4.72%,-18.69%,-58.27%,0.71%,41.89,-2.06%,-0.34%
BCC,16,Boise Cascade Company,Industrial Goods,"Lumber, Wood Production",USA,1.46B,-,37.33,"279,760",Tomorrow Before Market EPS,1-Strong Buy ,BUY,C+ (Hold),B,November6,16.88,-,0.31,2.07,7.21,297.78,-77.90%,20.35%,-32.00%,7.90%,8.80%,0.96%,-1.10%,-2.80%,3.90%,2.50,1.30,0.65,0.65,13.40%,0.00%,-0.40%,Nov 07/b,39.09M,38.48M,0.10%,-1.13%,95.20%,0.02%,2.88%,4.31,257.14K,6.26%,20.03%,22.76%,38.26%,15.79%,56.52%,2.47%,2.34%,2.50,1.09,2.03,0.86,8.01%,14.48%,31.39%,-1.63%,69.72%,72.73,0.89%,-0.19%
BCEI,19,"Bonanza Creek Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,387.00M,2.11,18.77,"175,983",Today After Market EPS,4-Sell ,BUY,C (Hold),D,November6,2.96,0.14,1.29,0.43,42.53,2.17,22.00%,6.59%,-46.80%,15.00%,-8.10%,-,17.30%,21.70%,12.30%,1.10,1.00,0.07,0.07,88.70%,42.20%,61.40%,Nov 06/a,20.62M,20.25M,1.40%,-0.97%,-,0.06%,11.02%,10.91,204.39K,5.39%,-13.38%,-14.80%,-22.76%,-28.82%,-9.19%,4.30%,4.59%,2.20,0.86,1.52,0.87,-3.26%,-13.40%,-14.60%,-37.33%,6.89%,40.17,-3.55%,-0.46%
BCSF,20,"Bain Capital Specialty Finance, Inc.",Financial,Asset Management,USA,969.61M,13.63,18.78,"133,853",Today After Market EPS,3-Hold ,BUY,None,],November6,11.24,2.10,6.43,0.95,9.60,-,17.50%,-1.18%,-,6.50%,-,8.73%,3.40%,6.90%,3.40%,-,-,1.47,1.47,52.40%,50.40%,44.80%,Nov 06/a,51.63M,51.53M,0.10%,-,52.70%,-5.36%,0.68%,2.28,153.40K,-0.27%,1.51%,3.41%,-5.15%,-,11.99%,1.43%,1.42%,2.10,0.87,-,0.29,-0.16%,-0.06%,-1.23%,-10.14%,24.04%,47.23,-0.37%,-0.16%
BELFB,17,Bel Fuse Inc.,Technology,Diversified Electronics,USA,164.60M,122.03,16.23,"45,768",Tomorrow Before Market EPS,,BUY,D+ (Sell),D,November6,25.36,-,0.32,1.17,-,-,-78.00%,73.00%,0.44%,-,-,1.73%,-,-,-,-,-,-,-,-,-,-,Nov 07/b,10.14M,10.14M,3.08%,0.00%,76.72%,-,1.56%,2.69,58.76K,6.92%,23.23%,40.76%,-25.10%,-35.95%,-11.89%,7.76%,7.84%,2.00,0.78,-,1.17,14.08%,17.22%,-13.00%,-41.56%,79.73%,64.07,-0.79%,-0.30%
BIDU,21,"Baidu, Inc.",Technology,Internet Information Providers,China,36.42B,16.16,107.36,"3,622,718",Today After Market EPS,3-Hold ,BUY,C (Hold),F,November6,16.64,-,2.42,1.60,1.90,-,48.90%,45.93%,21.00%,-1.61%,26.20%,-,5.50%,10.10%,7.10%,2.60,2.60,0.34,0.40,42.60%,9.80%,15.50%,Nov 06/a,339.25M,276.03M,15.60%,0.00%,75.10%,-1.62%,2.45%,1.74,3.89M,4.30%,7.87%,7.48%,-32.35%,-43.67%,-32.31%,2.92%,2.50%,2.30,0.93,1.73,2.86,2.48%,2.43%,-18.86%,-45.23%,14.96%,54.32,-1.33%,0.70%
BIO-B,18,"Bio-Rad Laboratories, Inc.",Healthcare,Medical Laboratories & Research,USA,1.79B,28.13,351.21,1,Tomorrow Before Market EPS,None,None,None,],November6,-,-,0.78,2.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nov 07/b,5.10M,-,-,-,-,-,-,0.02,0.21K,4.24%,6.76%,29.11%,59.17%,222.83%,52.70%,0.11%,0.11%,-,0.00,-,6.31,4.56%,14.25%,50.16%,1.15%,58.97%,64.02,0.00%,1.15%
BIOL,22,"BIOLASE, Inc.",Healthcare,Medical Instruments & Supplies,USA,17.20M,-,0.58,"109,044",Today After Market EPS,3-Hold ,STRONG BUY,D- (Sell),D,November6,-,-,0.40,3.22,4.65,-,35.20%,52.20%,9.30%,20.00%,-3.90%,-,-58.70%,-213.50%,-98.40%,2.00,1.10,3.50,0.00,38.30%,-43.90%,-47.50%,Nov 06/a,29.66M,23.44M,0.40%,-89.23%,27.90%,0.01%,3.22%,7.33,103.00K,-1.69%,-26.11%,-62.58%,-73.15%,-56.72%,-41.41%,5.87%,12.81%,1.50,1.06,2.19,0.08,-17.66%,-32.97%,-64.56%,-79.79%,5.07%,36.62,0.00%,0.00%
